,SAMPN,hhincome,AutoxAdults,HHSIZ,Weight2,PERNO
0,4000064,"5 More than $100,000",Autos > Adults (18 yrs or older),3,242.54972,15
1,4000066,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,96.58105,7
2,4000136,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,92.530365,24
3,4000154,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),1,56.63644,4
4,4000158,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,81.20456,9
5,4000160,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,98.31679,12
6,4000176,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,106.04711,14
7,4000193,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,94.93640500000001,3
8,4000218,"5 More than $100,000",Autos = Adults (18 yrs or older),2,51.50026,16
9,4000228,"5 More than $100,000",Autos = Adults (18 yrs or older),2,75.72368,4
10,4000239,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,144.0979,10
11,4000260,na,Autos = Adults (18 yrs or older),2,72.992775,25
12,4000301,"5 More than $100,000",Autos < Adults (18 yrs or older),5,394.9462,17
13,4000306,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,301.56925,17
14,4000338,"5 More than $100,000",Autos = Adults (18 yrs or older),2,378.34109,6
15,4000414,"5 More than $100,000",Autos < Adults (18 yrs or older),2,56.01764,7
16,4000424,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,253.26637999999997,14
17,4000431,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,53.984759999999994,4
18,4000447,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),2,106.28658,28
19,4000458,"5 More than $100,000",Autos < Adults (18 yrs or older),2,177.61736499999998,10
20,4000467,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,185.06073,5
21,4000520,"1 Less than $20,000",Autos < Adults (18 yrs or older),2,97.643485,8
22,4000523,"5 More than $100,000",Autos = Adults (18 yrs or older),1,163.538795,7
